gdp_per_capita,life_expectancy,social_support,score
0.59867,0.66015,1.0571417009477972,4.715
0.39753,0.60164,1.0270306376692442,4.694
1.0088,0.69805,1.144368158255783,4.686
0.79907,0.6739,1.0966507224765822,4.681
0.98549,0.60237,1.095595543259885,4.677
0.92049,0.27688,1.0718118814089868,4.642
0.54558,0.40132,1.027412691161011,4.633
0.271,0.33475,0.9453489644203752,4.61
0.0712,0.34201,0.9056097663813394,4.571
0.64499,0.51529,1.051022474427299,4.565
0.52107,0.36878,0.9737347918503164,4.55
0.26673,0.38847,0.9396363653262272,4.518
0.0,0.09806,0.8497282303225193,4.517
0.35997,0.56874,0.9997214560828612,4.514
0.19073,0.44055,0.9576048457346492,4.512
0.33024,0.0,0.92321834848306,4.507
0.45407,0.35874,0.964321062929228,4.436
0.36471,0.41435,0.973324457928454,4.419
0.44025,0.36291,0.9772929765847675,4.369
0.76821,0.7299,1.0576033888768055,4.35
0.99355,0.04776,1.0406833453565942,4.332
0.27108,0.48246,0.9523016144488472,4.307
0.7419,0.72926,1.0708249129585143,4.297
0.01604,0.22562,0.8691679102176371,4.292
0.83524,0.70806,1.0989927304377596,4.271
0.4225,0.23402,0.950441095719038,4.252
1.01216,0.76649,1.108075187546983,4.218
0.8818,0.61712,1.0457188066609802,4.194
0.54649,0.40064,0.9527011302324118,4.077
0.75778,0.16683,0.9269237373629298,4.033
0.26074,0.20583,0.8638464716628864,3.995
0.67866,0.31051,0.9608360444722588,3.989
0.23906,0.36315,0.8590969957052998,3.956
0.21102,0.33861,0.8728864161339529,3.931
0.36498,0.4354,0.9017211392388108,3.904
1.06024,0.43372,1.0285255262329986,3.896
0.0694,0.29707,0.8314723785859832,3.845
0.46038,0.61114,0.9652165262028882,3.819
0.2852,0.38215,0.858658925475347,3.781
0.20824,0.46721,0.822695047851653,3.681
0.0785,0.06699,0.7788723400435282,3.678
0.34193,0.1501,0.8114814590175088,3.667
0.17417,0.24009,0.8071423473418522,3.656
0.46534,0.15185,0.8625039060228314,3.655
0.25812,0.27125,0.8195652871041585,3.587
0.31982,0.30335,0.8171746959971808,3.575
0.22208,0.42864,0.8358132580248057,3.465
0.28665,0.3191,0.7992241443465562,3.34
0.6632,0.72193,0.8256247078491163,3.006
0.0153,0.22396,0.6140327146265326,2.905
0.20868,0.28443,0.6753721986461433,2.839
